epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.326,0.96187,1.58668,1.31569,0.57384,0.50858,0.51894,0.33501,1.17736,1.57234,1.46292,0.000138865,0.000138865,0.000138865
2,1968.54,1.17783,1.78639,1.49423,0.51914,0.44447,0.42664,0.26188,1.32091,1.71233,1.60945,0.000277676,0.000277676,0.000277676
3,2972.29,1.23008,1.90719,1.54465,0.52106,0.42521,0.42884,0.26227,1.31443,1.78921,1.62028,0.000415734,0.000415734,0.000415734
4,3993.95,1.22653,1.86459,1.53692,0.57265,0.49652,0.51097,0.32846,1.23965,1.58269,1.52691,0.000414459,0.000414459,0.000414459
5,5633.13,1.16012,1.72096,1.49216,0.61035,0.50994,0.53854,0.35533,1.17643,1.45349,1.48267,0.000412489,0.000412489,0.000412489
6,7642.36,1.12352,1.63024,1.45879,0.64924,0.531,0.58288,0.38979,1.13943,1.38198,1.44995,0.000409967,0.000409967,0.000409967
7,9392.35,1.10396,1.54942,1.44712,0.64941,0.54861,0.59461,0.40376,1.12032,1.32412,1.43254,0.000406897,0.000406897,0.000406897
8,684.362,1.05496,1.47466,1.41447,0.66738,0.58554,0.63469,0.43693,1.08926,1.23743,1.39589,0.00040329,0.00040329,0.00040329
9,2381.95,1.02492,1.38794,1.39204,0.69782,0.55324,0.61898,0.43021,1.06876,1.23787,1.37935,0.000399154,0.000399154,0.000399154
10,3727.84,1.0015,1.33678,1.37382,0.69228,0.59093,0.64703,0.45544,1.05853,1.17978,1.38056,0.000394502,0.000394502,0.000394502
11,5455.09,0.99784,1.29418,1.36374,0.71995,0.59884,0.66502,0.46646,1.05523,1.14704,1.3857,0.000389346,0.000389346,0.000389346
12,6538.64,0.96531,1.22539,1.33727,0.7154,0.61224,0.68174,0.48076,1.02998,1.1199,1.36236,0.000383699,0.000383699,0.000383699
13,7809.6,0.94327,1.18549,1.32188,0.75324,0.62146,0.69883,0.50135,1.00601,1.07148,1.33498,0.000377578,0.000377578,0.000377578
14,9275.52,0.93746,1.14778,1.31485,0.74143,0.63496,0.70296,0.50803,1.00503,1.03623,1.33174,0.000371,0.000371,0.000371
15,10665.9,0.93798,1.1527,1.32421,0.74578,0.63214,0.70621,0.50928,0.9988,1.03549,1.32748,0.000363981,0.000363981,0.000363981
16,12052.5,0.93359,1.14294,1.32022,0.76074,0.64313,0.72153,0.52014,0.98443,1.01551,1.30644,0.000356542,0.000356542,0.000356542
17,14094.8,0.92328,1.10085,1.30817,0.75906,0.64171,0.72135,0.52445,0.97929,0.99632,1.31154,0.000348704,0.000348704,0.000348704
18,15300,0.91123,1.06958,1.29496,0.75846,0.65302,0.72733,0.53243,0.97137,0.97143,1.29424,0.000340486,0.000340486,0.000340486
19,16886.1,0.89853,1.04734,1.28835,0.76825,0.66505,0.73394,0.53957,0.95424,0.95605,1.2897,0.000331913,0.000331913,0.000331913
20,18074.5,0.88529,1.01373,1.27477,0.77383,0.65973,0.73636,0.54249,0.96204,0.95227,1.295,0.000323007,0.000323007,0.000323007
21,19687.3,0.87476,0.99086,1.26937,0.78298,0.66307,0.74296,0.55154,0.94869,0.93909,1.28725,0.000313793,0.000313793,0.000313793
